Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Direction,PhiScore,KanScore,Description,Yards,PlayType,Runner,Receiver,ForcedBy,DefendedBy,TackledBy,TackleAssist,InterceptedBy,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,PassDirection,IsSack,IsChallenge,IsChallengeReverse,Challenger,IsInterception,IsFumble,FumbleRecoveredByOffense,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RunDirection,IsPenaltyAccepted,PenaltyTeam,PenaltyType,PenaltyYards
1,7,44,KAN,PHI,1,10,20,PHI,7,0,Isiah Pacheco up the middle for 2 yards (tackle by Fletcher Cox),2,Run,Isaiah Pacheco,NA,NA,NA,Fletcher Cox,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
1,7,03,KAN,PHI,2,8,18,PHI,7,6,"Patrick Mahomes pass complete deep right to Travis Kelce for 18 yards, touchdown",18,Pass,NA,Travis Kelce,NA,NA,NA,NA,NA,0,1,0,1,Deep,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,6,57,KAN,PHI,NA,NA,15,PHI,7,7,Harrison Butker kicks extra point good,NA,Extra Point,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,6,57,KAN,PHI,NA,NA,35,KAN,7,7,"Harrison Butker kicks off 65 yards, touchback.",NA,Kickoff,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,6,57,PHI,KAN,1,10,25,PHI,7,7,"Jalen Hurts pass complete short right to Kenneth Gainwell for no gain (tackle by Trent McDuffie). Penalty on Zach Pascal: Offensive Pass Interference, 10 yards (accepted) (no play)",0,Pass,NA,Kenneth Gainwell,NA,NA,Trent McDuffie,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,1,0,0,NA,1,PHI,Offensive Pass Interference,10
1,6,30,PHI,KAN,1,20,15,PHI,7,7,Kenneth Gainwell right tackle for 1 yard (tackle by Leo Chenal),1,Run,Kenneth Gainwell,NA,NA,NA,Leo Chenal,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Right,0,NA,NA,0
1,5,47,PHI,KAN,2,19,16,PHI,7,7,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by L'Jarius Sneed),5,Pass,NA,DeVonta Smith,NA,NA,L'Jarius Sneed,NA,NA,0,1,0,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,5,07,PHI,KAN,3,14,21,PHI,7,7,Jalen Hurts pass incomplete short left,0,Pass,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Short,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,5,00,PHI,KAN,4,14,21,PHI,7,7,"Arryn Siposs punts 57 yards, returned by Kadarius Toney for 12 yards (tackle by Jack Stoll)",12,Punt,Kadarius Toney,NA,NA,NA,Jack Stoll,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
1,4,46,KAN,PHI,1,10,34,KAN,7,7,Patrick Mahomes pass complete short right to Noah Gray for 6 yards (tackle by T.J. Edwards),6,Pass,NA,Noah Gray,NA,NA,TJ Edwards,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
